1, 42
1, 42
1, 43
1, 63
1, 58
1, 50
1, 49
1, 38
1, 41
1, 57
1, 43
1, 51
1, 40
1, 49
1, 42
1, 48
1, 42
1, 41
1, 47
1, 40
1, 45
1, 41
1, 49
1, 51
1, 52
1, 49
1, 49
1, 41
1, 40
1, 44
1, 55
1, 48
1, 46
1, 47
1, 39
1, 46
1, 48
1, 46
1, 42
1, 51
1, 48
1, 42
1, 43
1, 41
1, 51
1, 55
1, 49
1, 41
1, 51
1, 42
1, 49
1, 58
1, 41
1, 43
1, 44
1, 44
1, 47
1, 45
1, 44
1, 52
1, 48
1, 46
1, 46
1, 40
1, 50
1, 54
1, 43
1, 41
1, 41
1, 50
1, 60
1, 53
1, 42
1, 45
1, 50
1, 54
1, 44
1, 54
1, 46
1, 54
1, 47
1, 58
1, 47
1, 42
1, 50
1, 45
1, 51
1, 41
1, 54
1, 47
1, 49
1, 44
1, 44
1, 52
1, 47
1, 50
1, 53
1, 47
1, 46
1, 37
2, 226
3, 322
4, 723
5, 766
6, 1316
7, 1317
2, 237
3, 437
4, 599
5, 1202
6, 1367
7, 1324
2, 229
3, 483
4, 606
5, 1128
6, 1376
7, 1326
2, 221
3, 330
4, 786
5, 1194
6, 1194
7, 1331
2, 265
3, 442
4, 484
5, 1368
6, 1249
7, 1364
2, 241
3, 409
4, 617
5, 1032
6, 1365
7, 1343
2, 213
3, 246
4, 495
5, 801
6, 1090
7, 1204
2, 220
3, 454
4, 861
5, 912
6, 1359
7, 1327
2, 217
3, 279
4, 321
5, 837
6, 1357
7, 1348
2, 182
3, 389
4, 436
5, 714
6, 951
7, 1169
2, 214
3, 312
4, 804
5, 1394
6, 1362
7, 1335
2, 229
3, 235
4, 571
5, 990
6, 1199
7, 1343
2, 260
3, 253
4, 565
5, 1002
6, 1383
7, 1321
2, 249
3, 302
4, 589
5, 912
6, 1377
7, 1314
2, 198
3, 366
4, 524
5, 652
6, 1354
7, 1340
2, 219
3, 349
4, 449
5, 855
6, 1353
7, 1350
2, 207
3, 223
4, 863
5, 910
6, 1384
7, 1353
2, 210
3, 344
4, 401
5, 534
6, 684
7, 1362
2, 225
3, 278
4, 466
5, 526
6, 1367
7, 1322
2, 189
3, 417
4, 522
5, 1094
6, 1359
7, 1330
2, 224
3, 233
4, 427
5, 744
6, 667
7, 1329
2, 216
3, 381
4, 442
5, 456
6, 1141
7, 1344
2, 186
3, 360
4, 899
5, 1212
6, 1185
7, 1333
2, 269
3, 378
4, 818
5, 1098
6, 1369
7, 1341
2, 245
3, 289
4, 484
5, 860
6, 787
7, 1193
2, 211
3, 201
4, 344
5, 766
6, 1380
7, 1336
